,Site,OrdinalDate,Species,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,GDD,total,DI,year
391,Chaut,169,Aeropedellus clavatus,0,1,7,11,17,NA,342.325,36,4.222222222,1959
392,Chaut,176,Aeropedellus clavatus,0,0,0,1,30,NA,414.237,31,4.967741935,1959
393,Chaut,189,Aeropedellus clavatus,0,0,0,0,7,NA,529.527,7,5,1959
394,Chaut,197,Aeropedellus clavatus,0,0,0,0,5,NA,600.442,5,5,1959
395,Chaut,204,Aeropedellus clavatus,0,0,0,0,8,NA,665.66,8,5,1959
396,Chaut,210,Aeropedellus clavatus,0,0,0,0,6,NA,732.657,6,5,1959
397,Chaut,219,Aeropedellus clavatus,0,0,0,0,3,NA,819.797,3,5,1959
398,Chaut,225,Aeropedellus clavatus,0,0,0,0,5,NA,887.552,5,5,1959
399,Chaut,233,Aeropedellus clavatus,0,0,0,0,1,NA,964.394,1,5,1959
400,Chaut,239,Aeropedellus clavatus,0,0,0,0,1,NA,1026.25,1,5,1959
462,Chaut,146,Aeropedellus clavatus,1,2,4,1,0,NA,207.29,8,2.625,1960
463,Chaut,150,Aeropedellus clavatus,5,3,5,7,0,NA,228.962,20,2.7,1960
464,Chaut,152,Aeropedellus clavatus,0,0,0,8,2,NA,245.817,10,4.2,1960
465,Chaut,155,Aeropedellus clavatus,0,4,15,11,8,NA,277.867,38,3.605263158,1960
466,Chaut,159,Aeropedellus clavatus,0,1,20,19,17,NA,309.144,57,3.912280702,1960
467,Chaut,162,Aeropedellus clavatus,0,1,4,17,23,NA,323.502,45,4.377777778,1960
468,Chaut,165,Aeropedellus clavatus,0,2,6,10,18,NA,339.102,36,4.222222222,1960
469,Chaut,168,Aeropedellus clavatus,0,0,5,9,37,NA,365.049,51,4.62745098,1960
470,Chaut,172,Aeropedellus clavatus,0,1,3,0,25,NA,415.467,29,4.689655172,1960
471,Chaut,175,Aeropedellus clavatus,0,0,1,1,34,NA,441.687,36,4.916666667,1960
472,Chaut,179,Aeropedellus clavatus,0,0,0,1,29,NA,484.912,30,4.966666667,1960
473,Chaut,182,Aeropedellus clavatus,0,0,0,0,24,NA,525.017,24,5,1960
474,Chaut,186,Aeropedellus clavatus,0,0,0,0,20,NA,566.37,20,5,1960
475,Chaut,189,Aeropedellus clavatus,0,0,1,0,25,NA,582.672,26,4.923076923,1960
476,Chaut,193,Aeropedellus clavatus,0,0,0,0,15,NA,631.503,15,5,1960
477,Chaut,196,Aeropedellus clavatus,0,0,0,0,18,NA,656.668,18,5,1960
478,Chaut,200,Aeropedellus clavatus,0,0,0,0,32,NA,700.777,32,5,1960
479,Chaut,203,Aeropedellus clavatus,0,0,0,0,4,NA,737.609,4,5,1960
480,Chaut,207,Aeropedellus clavatus,0,0,0,0,25,NA,789.496,25,5,1960
481,Chaut,210,Aeropedellus clavatus,0,0,0,0,10,NA,835.494,10,5,1960
482,Chaut,215,Aeropedellus clavatus,0,0,0,0,6,NA,898.772,6,5,1960
483,Chaut,224,Aeropedellus clavatus,0,0,0,0,7,NA,992.262,7,5,1960
484,Chaut,231,Aeropedellus clavatus,0,0,0,0,2,NA,1059.92,2,5,1960
485,Chaut,237,Aeropedellus clavatus,0,0,0,0,1,NA,1127.06,1,5,1960
1,Chaut,135,Aeropedellus clavatus,0,0,0,6,0,NA,156.865,6,4,2007
2,Chaut,141,Aeropedellus clavatus,0,0,0,3,0,NA,188.59,8,4,2007
3,Chaut,150,Aeropedellus clavatus,0,0,0,0,3,NA,221.926,6,4.5,2007
4,Chaut,155,Aeropedellus clavatus,0,0,2,5,11,NA,243.924,21,4.428571429,2007
5,Chaut,164,Aeropedellus clavatus,0,0,10,8,3,NA,300.317,22,3.681818182,2007
6,Chaut,169,Aeropedellus clavatus,0,0,0,1,15,NA,349.169,16,4.9375,2007
7,Chaut,176,Aeropedellus clavatus,0,0,1,0,15,NA,428.915,16,4.875,2007
8,Chaut,184,Aeropedellus clavatus,0,0,0,4,11,NA,513.992,15,4.733333333,2007
9,Chaut,190,Aeropedellus clavatus,0,0,0,0,11,NA,581.159,12,4.916666667,2007
70,Chaut,137,Aeropedellus clavatus,1,17,5,0,0,NA,107.25,23,2.173913043,2008
73,Chaut,151,Aeropedellus clavatus,4,4,7,4,0,NA,180.291,19,2.578947368,2008
78,Chaut,156,Aeropedellus clavatus,0,1,1,4,0,NA,212.24,6,3.5,2008
84,Chaut,161,Aeropedellus clavatus,3,0,6,1,7,NA,228.534,17,3.529411765,2008
89,Chaut,167,Aeropedellus clavatus,0,1,7,8,9,NA,267.858,25,4,2008
94,Chaut,172,Aeropedellus clavatus,0,0,2,1,20,NA,307.618,23,4.782608696,2008
135,Chaut,133,Aeropedellus clavatus,0,0,0,1,0,NA,NA,1,4,2009
136,Chaut,140,Aeropedellus clavatus,0,2,0,1,0,NA,NA,3,2.666666667,2009
137,Chaut,154,Aeropedellus clavatus,0,0,1,2,0,NA,NA,3,3.666666667,2009
138,Chaut,161,Aeropedellus clavatus,0,12,11,8,2,NA,NA,33,3,2009
139,Chaut,168,Aeropedellus clavatus,0,2,15,8,2,NA,NA,27,3.37037037,2009
140,Chaut,177,Aeropedellus clavatus,0,0,0,0,5,NA,NA,7,4.714285714,2009
222,Chaut,139,Aeropedellus clavatus,0,2,0,0,0,NA,NA,2,2,2010
223,Chaut,143,Aeropedellus clavatus,0,0,1,0,0,NA,NA,1,3,2010
224,Chaut,150,Aeropedellus clavatus,3,8,3,2,0,NA,NA,16,2.25,2010
225,Chaut,157,Aeropedellus clavatus,2,5,6,2,0,NA,NA,15,2.533333333,2010
226,Chaut,165,Aeropedellus clavatus,0,0,0,4,3,NA,NA,7,4.428571429,2010
227,Chaut,169,Aeropedellus clavatus,0,0,2,7,4,NA,NA,17,4.117647059,2010
228,Chaut,176,Aeropedellus clavatus,0,0,0,2,3,NA,NA,5,4.6,2010
229,Chaut,182,Aeropedellus clavatus,0,0,0,1,8,NA,NA,9,4.888888889,2010
304,Chaut,126,Aeropedellus clavatus,5,4,1,1,0,NA,NA,11,1.818181818,2011
305,Chaut,133,Aeropedellus clavatus,2,3,5,1,0,NA,NA,11,2.454545455,2011
306,Chaut,140,Aeropedellus clavatus,0,0,5,4,0,NA,NA,9,3.444444444,2011
307,Chaut,169,Aeropedellus clavatus,0,0,0,2,0,NA,NA,2,4,2011
308,Chaut,209,Arphia conspersa,3,0,0,0,0,0,NA,3,1,2011
309,Chaut,216,Arphia conspersa,2,0,0,0,0,0,NA,2,1,2011
310,Chaut,223,Arphia conspersa,8,1,0,0,0,0,NA,9,1.111111111,2011
311,Chaut,230,Arphia conspersa,3,3,0,0,0,0,NA,6,1.5,2011
312,Chaut,239,Arphia conspersa,5,5,2,0,0,0,NA,12,1.75,2011
313,Chaut,246,Arphia conspersa,3,2,2,0,0,0,NA,7,1.857142857,2011
401,Chaut,169,Hesperotettix viridis,0,5,7,2,0,0,342.325,14,2.785714286,1959
402,Chaut,176,Hesperotettix viridis,0,2,5,1,0,0,414.237,8,2.875,1959
403,Chaut,197,Hesperotettix viridis,0,0,0,1,5,8,600.442,14,5.5,1959
404,Chaut,204,Hesperotettix viridis,0,0,0,1,6,13,665.66,20,5.6,1959
405,Chaut,210,Hesperotettix viridis,0,0,1,0,0,12,732.657,13,5.769230769,1959
406,Chaut,219,Hesperotettix viridis,0,0,0,0,0,10,819.797,10,6,1959
407,Chaut,225,Hesperotettix viridis,0,0,0,0,0,1,887.552,1,6,1959
408,Chaut,233,Hesperotettix viridis,0,0,0,0,0,6,964.394,6,6,1959
409,Chaut,239,Hesperotettix viridis,0,0,0,0,0,10,1026.25,10,6,1959
410,Chaut,245,Hesperotettix viridis,0,0,0,0,0,4,1080.62,4,6,1959
411,Chaut,253,Hesperotettix viridis,0,0,0,0,0,2,1158.59,2,6,1959
486,Chaut,146,Hesperotettix viridis,2,0,0,0,0,0,207.29,2,1,1960
487,Chaut,150,Hesperotettix viridis,1,1,0,0,0,0,228.962,2,1.5,1960
488,Chaut,153,Hesperotettix viridis,1,0,0,0,0,1,255.297,2,3.5,1960
489,Chaut,159,Hesperotettix viridis,0,1,2,0,0,0,309.144,3,2.666666667,1960
490,Chaut,162,Hesperotettix viridis,3,2,1,0,0,0,323.502,6,1.666666667,1960
491,Chaut,168,Hesperotettix viridis,0,0,7,0,0,0,365.049,7,3,1960
492,Chaut,172,Hesperotettix viridis,0,0,6,1,1,0,415.467,8,3.375,1960
493,Chaut,175,Hesperotettix viridis,0,0,4,4,0,0,441.687,8,3.5,1960
494,Chaut,179,Hesperotettix viridis,0,0,5,4,3,0,484.912,12,3.833333333,1960
495,Chaut,181,Hesperotettix viridis,0,0,0,4,2,0,512.204,6,4.333333333,1960
496,Chaut,186,Hesperotettix viridis,0,0,0,1,3,1,566.37,5,5,1960
497,Chaut,189,Hesperotettix viridis,0,0,0,0,11,2,582.672,13,5.153846154,1960
498,Chaut,193,Hesperotettix viridis,0,0,0,1,6,8,631.503,15,5.466666667,1960
499,Chaut,196,Hesperotettix viridis,0,0,1,1,15,18,656.668,35,5.428571429,1960
500,Chaut,200,Hesperotettix viridis,0,0,0,0,6,25,700.777,31,5.806451613,1960
501,Chaut,203,Hesperotettix viridis,0,0,0,0,2,4,737.609,6,5.666666667,1960
502,Chaut,207,Hesperotettix viridis,0,0,0,0,2,13,789.496,15,5.866666667,1960
503,Chaut,210,Hesperotettix viridis,0,0,0,0,1,8,835.494,9,5.888888889,1960
504,Chaut,215,Hesperotettix viridis,0,0,0,0,0,8,898.772,8,6,1960
505,Chaut,224,Hesperotettix viridis,0,0,0,0,0,5,992.262,5,6,1960
506,Chaut,231,Hesperotettix viridis,0,0,0,0,0,4,1059.92,4,6,1960
507,Chaut,237,Hesperotettix viridis,0,0,0,0,0,1,1127.06,1,6,1960
508,Chaut,244,Hesperotettix viridis,0,0,0,0,0,1,1203.12,1,6,1960
509,Chaut,258,Hesperotettix viridis,0,0,0,0,0,1,1337,1,6,1960
10,Chaut,150,Hesperotettix viridis,1,0,0,0,0,0,221.926,1,1,2007
11,Chaut,155,Hesperotettix viridis,0,2,0,0,0,0,243.924,2,2,2007
12,Chaut,164,Hesperotettix viridis,0,1,5,4,1,0,300.317,11,3.454545455,2007
13,Chaut,169,Hesperotettix viridis,0,0,0,2,0,0,349.169,2,4,2007
14,Chaut,176,Hesperotettix viridis,0,0,1,2,3,0,428.915,6,4.333333333,2007
15,Chaut,184,Hesperotettix viridis,0,1,0,4,5,0,513.992,10,4.3,2007
16,Chaut,190,Hesperotettix viridis,0,0,0,5,1,2,581.159,8,4.625,2007
17,Chaut,204,Hesperotettix viridis,0,0,0,0,1,6,749.844,7,5.857142857,2007
74,Chaut,151,Hesperotettix viridis,3,0,0,0,0,0,180.291,3,1,2008
79,Chaut,156,Hesperotettix viridis,10,5,0,0,0,0,212.24,15,1.333333333,2008
85,Chaut,161,Hesperotettix viridis,7,10,3,0,0,0,228.534,20,1.8,2008
90,Chaut,167,Hesperotettix viridis,5,18,13,0,0,0,267.858,36,2.222222222,2008
95,Chaut,172,Hesperotettix viridis,0,0,5,4,4,0,307.618,13,3.923076923,2008
99,Chaut,178,Hesperotettix viridis,0,1,6,15,2,0,364.386,24,3.75,2008
104,Chaut,185,Hesperotettix viridis,0,1,1,5,4,0,428.152,11,4.090909091,2008
109,Chaut,190,Hesperotettix viridis,0,2,2,7,19,0,482.06,30,4.433333333,2008
114,Chaut,196,Hesperotettix viridis,0,0,0,5,13,10,548.202,28,5.178571429,2008
141,Chaut,140,Hesperotettix viridis,2,0,0,0,0,0,NA,2,1,2009
142,Chaut,154,Hesperotettix viridis,0,1,0,0,0,0,NA,1,2,2009
143,Chaut,161,Hesperotettix viridis,5,5,4,3,0,0,NA,17,2.294117647,2009
144,Chaut,168,Hesperotettix viridis,0,3,6,1,0,0,NA,10,2.8,2009
145,Chaut,177,Hesperotettix viridis,0,2,3,0,0,0,NA,5,2.6,2009
146,Chaut,183,Hesperotettix viridis,0,2,3,2,0,0,NA,7,3,2009
147,Chaut,191,Hesperotettix viridis,0,0,5,9,4,0,NA,18,3.944444444,2009
148,Chaut,197,Hesperotettix viridis,0,0,0,1,6,0,NA,7,4.857142857,2009
